No.,Year of Incorporated,Industry,Paid-up Capital,Loan Status,Loan Amount,Loan Tenure,Non-Current Assets 2018,Non-Current Assets 2019,Current Assets 2018,Current Assets 2019,Total Assets 2018,Total Assets 2019,Current Liabilities 2018,Current Liabilities 2019,Total Liabilities 2018,Total Liabilities 2019,Share Capital 2018,Share Capital 2019,Retained Earnings 2018,Retained Earnings 2019,Networth 2018,Networth 2019,Revenue 2018,Revenue 2019,NPBT 2018,NPBT 2019,NPAT 2018,NPAT 2019
266,2008,TRADING & WHOLESALE,"1,000,002",GOOD,"11,038",60,"3,983,279","3,932,998","4,103,162","6,613,714","8,086,441","10,546,712","5,123,515","6,805,241","5,177,124","6,839,441","235,000","1,000,000","991,987","1,024,941","2,909,317","3,707,271","14,409,270","6,843,879","703,283","90,585","441,824","32,954"
267,2009,TRADING & WHOLESALE,"1,000,000",GOOD,"45,000",24,"601,223","824,458","9,347,102","9,155,906","9,948,325","9,980,364","7,104,438","7,036,953","7,416,263","7,266,287","1,000,000","1,000,000","1,532,062","1,714,077","2,532,062","2,714,077","10,797,723","12,102,990","187,878","240,568","106,017","182,016"
268,2004,TRADING & WHOLESALE,"1,000,000",GOOD,"73,273",36,"4,169,778","4,538,779","4,150,935","4,011,223","8,320,713","8,550,002","3,327,692","3,070,752","6,834,013","6,559,282","500,000","500,000","383,632","1,490,720","1,486,700","1,990,720","5,926,381","4,953,387","201,451","69,747","119,855","37,784"
269,2007,TRADING & WHOLESALE,"650,000",GOOD,"14,797",59,"2,169,510","3,416,328","900,118","1,740,915","3,069,628","5,157,243","1,622,655","2,253,694","3,046,459","5,113,927","650,000","650,000","-626,831","-606,684","23,169","43,316","2,346,145","3,487,760","-174,815","78,999","-153,635","20,147"
270,2001,TRADING & WHOLESALE,"1,500,000",GOOD,"150,000",24,"8,820,816","8,546,336","3,107,720","3,676,580","11,928,536","12,222,916","2,649,300","2,888,845","5,124,552","5,021,637","1,500,000","1,500,000","5,303,984","5,701,279","6,803,984","7,201,279","6,369,604","7,714,347","263,442","585,272","129,960","397,295"
271,2003,TRADING & WHOLESALE,"554,750",GOOD,"99,036",36,"381,582","409,318","8,624,563","8,698,445","9,006,145","9,107,763","3,949,006","3,683,443","4,307,701","3,988,687","554,750","554,750","4,143,694","4,564,326","4,698,444","5,119,076","38,632,130","38,839,072","369,423","738,973","249,471","587,057"
272,2007,TRADING & WHOLESALE,"250,000",GOOD,"157,000",36,"931,248","882,094","1,425,993","1,614,385","2,357,241","2,496,479","1,460,556","1,517,260","2,093,517","2,289,142","250,000","250,000","13,724","-42,663","263,724","207,337","1,720,173","1,956,661","-34,494","-49,092","-43,775","-56,387"
273,2010,TRADING & WHOLESALE,"389,000",GOOD,"13,324",59,"797,927","709,950","2,152,169","1,740,037","2,950,096","2,449,987","2,195,309","2,015,022","2,850,866","2,558,909","100,000","100,000",-770,"-208,922","99,230","-108,922","6,128,535","5,715,393","-23,032","-262,714","-94,723","-208,152"
274,2011,TRADING & WHOLESALE,"810,000",GOOD,"160,500",60,"1,597,432","1,564,572","5,136,984","6,224,160","6,734,416","7,788,732","4,783,496","5,815,315","6,110,294","7,096,304","250,000","250,000","374,122","442,428","624,122","692,428","10,355,053","13,897,105","58,388","110,191","24,210","68,306"
275,2003,TRADING & WHOLESALE,"300,002",GOOD,"426,000",48,"273,331","485,457","1,275,667","1,484,357","1,548,998","1,969,814","1,712,857","1,619,183","1,712,857","1,954,565","300,002","300,002","-463,861","-284,753","-163,859","15,249","6,491,606","4,675,289","50,451","195,702","28,983","179,108"
276,2008,TRADING & WHOLESALE,"2,000,000",GOOD,"24,440",60,"749,889","580,154","7,584,575","8,209,057","8,334,464","8,789,211","4,446,287","4,598,688","6,296,708","6,726,662","1,000,000","2,000,000","1,037,756","62,549","2,037,756","2,062,549","8,740,897","9,227,957","88,832","84,733","39,166","24,793"
277,1995,TRADING & WHOLESALE,"1,000,000",GOOD,"14,801",60,"29,454","6,244,543","12,834,804","14,255,749","12,864,258","20,500,292","5,309,053","10,268,141","5,311,819","10,435,963","1,000,000","1,000,000","6,552,439","9,064,329","7,552,439","10,064,329","24,319,902","37,993,758","2,661,065","3,213,719","2,044,063","2,511,890"
278,2002,TRADING & WHOLESALE,"450,000",GOOD,"192,000",36,"2,167,241","3,284,180","7,272,816","6,981,688","9,440,057","10,265,868","6,442,517","4,922,287","7,521,617","6,474,734","450,000","450,000","1,468,440","3,341,134","1,918,440","3,791,134","11,016,109","15,070,363","1,412,899","2,803,001","1,081,145","2,147,258"
279,1999,CONSTRUCTION ,"1,000,000",BAD,"170,000",24,"100,353","51,518","3,253,319","2,799,819","3,353,672","2,851,337","1,799,641","1,194,900","1,866,213","1,239,973","1,000,000","1,000,000","487,459","611,364","1,487,459","1,611,364","5,608,945","6,907,995","253,857","164,205","194,857","123,905"
280,1995,BUSINESS SERVICES ,"5,000,000",BAD,"62,106",59,"8,041,127","7,216,468","22,337,582","21,187,549","30,378,709","28,404,017","22,537,226","21,260,444","25,325,400","23,187,594","2,583,000","2,583,000","2,470,309","2,633,423","5,053,309","5,216,423","38,848,830","30,555,739","236,009","303,316","61,153","163,114"
