No.,Year of Incorporated,Industry,Paid-up Capital,Loan Status,Loan Amount,Loan Tenure,Non-Current Assets 2018,Non-Current Assets 2019,Current Assets 2018,Current Assets 2019,Total Assets 2018,Total Assets 2019,Current Liabilities 2018,Current Liabilities 2019,Total Liabilities 2018,Total Liabilities 2019,Share Capital 2018,Share Capital 2019,Retained Earnings 2018,Retained Earnings 2019,Networth 2018,Networth 2019,Revenue 2018,Revenue 2019,NPBT 2018,NPBT 2019,NPAT 2018,NPAT 2019
616,1987,TRADING & WHOLESALE,"4,683,850",GOOD,"26,370",60,"4,206,608","3,853,891","12,382,436","12,461,604","16,589,044","16,315,495","8,754,833","4,793,225","9,097,833","5,136,225","4,683,850","4,683,850","2,807,361","6,495,420","7,491,211","11,179,270","31,825,256","34,374,983","1,881,990","4,775,334","1,263,759","3,688,059"
617,2008,TRADING & WHOLESALE,"500,000",GOOD,"73,500",36,"284,075","444,578","437,297","786,241","721,372","1,230,819","564,475","1,038,366","700,742","1,286,252","70,000","70,000","-49,370","-125,433","20,630","-55,433","2,390,364","3,538,670","-35,584","-75,863","-35,584","-76,063"
618,2006,TRADING & WHOLESALE,"15,000,001",GOOD,"35,554",56,n.a.,"507,176",n.a.,"1,111,177",n.a.,"1,618,353",n.a.,"103,120",n.a.,"103,120",n.a.,"1,832,330",n.a.,"-317,097",n.a.,"1,515,233",n.a.,n.a.,n.a.,"-317,097",n.a.,"-317,097"
619,2006,TRADING & WHOLESALE,"400,001",GOOD,"24,000",24,n.a.,"50,647",n.a.,"1,500,305",n.a.,"1,550,952",n.a.,"702,958",n.a.,"1,152,958",n.a.,"400,000",n.a.,"-2,006",n.a.,"397,994",n.a.,"1,326,053",n.a.,"-2,006",n.a.,"-2,006"
620,2003,TRADING & WHOLESALE,"1,200,001",GOOD,"18,673",59,"1,399,423","1,302,399","2,875,815","3,436,724","4,275,238","4,739,123","3,045,307","3,308,081","3,045,307","3,359,579","1,000,000","1,000,000","229,931","379,544","1,229,931","1,379,544","23,028,631","27,457,119","218,251","292,113","118,251","149,613"
621,2002,TRADING & WHOLESALE,"2,000,001",GOOD,"100,000",36,"3,475,789","2,978,653","17,042,341","16,028,744","20,518,130","19,007,397","16,948,728","15,288,225","17,497,160","15,625,445","2,000,000","2,000,000","1,020,970","1,381,952","3,020,970","3,381,952","40,208,235","41,099,141","467,589","584,789","214,491","336,920"
622,1988,TRADING & WHOLESALE,"700,001",GOOD,"5,215",59,"5,245,253","5,221,497","2,806,734","3,142,394","8,051,987","8,363,891","5,138,093","5,173,645","6,845,742","6,765,277","200,000","700,000","1,006,245","898,614","1,206,245","1,598,614","6,391,727","7,386,507","286,524","399,164","202,453","250,069"
623,2007,TRADING & WHOLESALE,"300,002",GOOD,"368,388",60,"944,796","964,281","1,391,901","1,694,250","2,336,697","2,658,531","1,521,649","1,464,994","2,172,129","2,036,739",10,"300,000","164,558","321,792","164,568","621,792","6,995,986","10,372,793","216,058","200,734","164,558","157,234"
624,1993,TRADING & WHOLESALE,"500,002",GOOD,"1,935,238",35,"3,717,874","5,315,325","6,002,842","4,556,167","9,720,716","9,871,492","8,244,556","7,468,949","8,432,879","8,039,999","200,000","200,000","1,087,837","1,631,493","1,287,837","1,831,493","16,124,418","20,206,201","166,366","732,408","-147,782","543,656"
625,1991,BUSINESS SERVICES ,"10,500,000",BAD,"21,315",59,"5,434,530","4,896,011","1,577,058","1,712,769","7,011,588","6,608,780","2,382,426","3,226,968","3,779,956","4,441,871","10,500,000","10,500,000","-7,268,368","-8,333,091","3,231,632","2,166,909","3,198,543","3,429,645","-818,806","-1,064,723","-826,736","-1,064,723"
626,2010,CONSTRUCTION ,"250,000",BAD,"47,200",36,"101,898","149,166","1,877,630","1,726,668","1,979,528","1,875,834","1,560,911","1,290,575","1,629,208","1,489,947","250,000","250,000","100,320","135,887","350,320","385,887","4,198,894","2,611,556","126,607","45,977","94,132","25,400"
627,2002,LAND TRANSPORT ,"250,000",BAD,"301,750",36,"539,928","429,477","489,845","539,545","1,029,773","969,022","387,134","434,744","557,322","534,556","250,000","250,000","222,451","184,466","472,451","434,466","1,868,296","1,888,258","10,825","-30,240","32,372","-37,985"
628,1996,CONSTRUCTION ,"2,000,000",BAD,"8,505,442",60,"101,086,861",n.a.,"111,331,794",n.a.,"212,418,655",n.a.,"103,829,206",n.a.,"150,019,415",n.a.,"2,000,000",n.a.,"60,577,377",n.a.,"62,577,377",n.a.,"162,916,270",n.a.,"19,140,282",n.a.,"17,423,745",n.a.
629,2006,BUSINESS SERVICES ,"250,001",BAD,"19,106",59,"337,069","277,953","712,214","844,403","1,049,283","1,122,356","273,291","299,192","469,223","458,673","100,000","100,000","480,060","563,683","580,060","663,683","1,546,991","1,599,993","72,693","139,314","53,449","83,623"
630,2008,CONSTRUCTION ,"3,000,001",BAD,"210,000",36,"528,397","685,606","6,629,146","11,950,737","7,157,543","12,636,343","5,306,500","9,583,634","5,930,577","10,518,647","800,000","800,000","426,966","1,317,696","1,226,966","2,117,696","15,162,708","24,633,264","301,434","1,150,730","221,434","890,730"
631,2004,BUSINESS SERVICES ,"62,001",BAD,"12,878",60,"21,201","26,898","3,866","64,374","25,067","91,272","44,227",n.a.,"44,227","74,162","62,000","62,000","-81,160","-44,890","-19,160","17,110","55,779","437,049","-29,238","40,827","-29,238","36,270"
632,2011,TRADING & WHOLESALE,"245,001",BAD,"53,921",60,"5,596,934","6,242,909","2,602,789","5,013,422","8,199,723","11,256,331","9,754,341","10,868,234","9,754,341","11,103,322",100,"150,000","-1,554,718","3,009","-1,554,618","153,009","5,083,651","12,776,438","-1,554,718","1,822,436","-1,554,718","1,557,727"
633,1989,BUSINESS SERVICES ,"5,000,001",BAD,"94,584",59,"17,301,121","15,531,243","18,773,504","24,009,095","36,074,625","39,540,338","23,815,704","24,288,632","24,048,234","27,409,409","5,000,000","5,000,000","7,026,391","7,130,929","12,026,391","12,130,929","46,511,005","55,220,779","524,895","343,992","312,373","104,538"
634,2010,CONSTRUCTION ,"100,001",BAD,"161,000",24,"829,798","657,524","159,394","757,054","989,192","1,414,578","459,540","901,209","735,791","1,017,727","1,000","1,000","252,401","395,851","253,401","396,851","640,987","3,415,366","380,001","167,428","380,001","143,450"
635,2010,BUSINESS SERVICES ,"2,500,001",BAD,"14,948",60,"7,454,293","24,880,299","5,590,901","7,853,395","13,045,194","32,733,694","8,646,977","19,811,717","11,178,702","33,421,123","2,500,000","2,500,000","-633,508","-3,187,429","1,866,492","-687,429","7,500,000","3,860,105","-363,870","-2,483,203","-386,393","-2,553,921"
636,2003,BUSINESS SERVICES ,"4,000,001",BAD,"98,037",59,"347,168","611,499","739,664","5,314,557","1,086,832","5,926,056","518,063","1,022,407","648,273","1,257,402","100,000","4,000,000","338,559","668,654","438,559","4,668,654","12,867,026","22,835,420","516,637","449,095","379,718","330,095"
637,2009,LAND TRANSPORT ,"500,002",BAD,"14,647",59,n.a.,"1,502,069",n.a.,"1,256,451",n.a.,"2,758,520",n.a.,"1,448,014",n.a.,"2,435,624",n.a.,"500,000",n.a.,"-177,104",n.a.,"322,896",n.a.,n.a.,n.a.,"116,627",n.a.,"88,527"
638,2011,TRADING & WHOLESALE,"3,000,002",BAD,"154,400",36,"2,988,336","3,160,924","15,275,077","16,819,788","18,263,413","19,980,712","14,908,968","14,950,964","16,612,228","16,880,522","700,000","1,500,000","951,185",n.a.,"1,651,185","1,500,000","51,568,261","48,072,655","904,515","944,861","597,156","649,005"
639,1975,BUSINESS SERVICES ,"5,000,002",BAD,"12,556",60,"6,204,927","4,644,217","127,850,691","140,789,223","134,055,618","145,433,440","72,817,285","77,009,698","137,170,181","142,617,563","5,000,000","5,000,000","-8,114,563","-2,184,123","-3,114,563","2,815,877","43,842,620","35,019,147","-6,108,084","6,141,286","-6,108,084","5,930,440"
640,1987,TRADING & WHOLESALE,"4,000,002",BAD,"1,030,000",48,"3,547,446","2,932,396","30,698,844","13,331,714","34,246,290","16,264,110","17,438,456","8,086,079","19,072,032","9,001,481","4,000,000","4,000,000","10,982,658","3,071,029","15,174,258","7,262,629","21,681,510","7,655,335","314,976","-7,949,408","79,576","-7,911,629"
641,2011,BUSINESS SERVICES ,"1,000,002",BAD,"33,913",60,"836,350","918,438","210,716","1,249,101","1,047,066","2,167,539","1,063,430","1,614,901","1,063,430","1,614,901","500,000","500,000","-516,364","52,638","-16,364","552,638","2,274,595","2,572,472","10,013","513,262","-17,286","569,002"
642,2003,LAND TRANSPORT ,"1,200,002",BAD,"100,000",60,"917,017","1,952,273","769,473","1,050,913","1,686,490","3,003,186","741,825","1,347,955","1,373,756","2,851,972","700,000","700,000","-387,266","-548,786","312,734","151,214","4,414,736","5,127,208","3,073","49,485","50,298","-161,520"
643,1994,CONSTRUCTION ,"3,000,000",BAD,"7,802,590",48,"53,840,503",n.a.,"174,136,952",n.a.,"227,977,455",n.a.,"146,305,236",n.a.,"165,115,335",n.a.,"3,000,000",n.a.,"59,862,120",n.a.,"62,862,120",n.a.,"151,770,804",n.a.,"16,310,982",n.a.,"11,926,000",n.a.
644,1983,BUSINESS SERVICES ,"300,000",BAD,"304,800",36,n.a.,"4,619,631",n.a.,"4,869,036",n.a.,"9,488,667",n.a.,"2,941,316",n.a.,"8,260,896",n.a.,"300,000",n.a.,"927,771",n.a.,"1,227,771",n.a.,"9,806,695",n.a.,"-136,056",n.a.,"-168,610"
645,2000,CONSTRUCTION ,"90,000,000",BAD,"9,544",60,"95,291","71,606","325,330,074","316,921,318","325,425,365","316,992,924","153,698,829","152,405,521","215,449,217","211,440,540","90,000,000","90,000,000","19,976,148","15,552,384","109,976,148","105,552,384","45,568,395","4,995,137","-41,423","-3,593,050","-371,382","-4,423,764"
646,1995,BUSINESS SERVICES ,"19,000,000",BAD,"15,674",59,"23,750,616","22,989,982","4,677,369","5,564,150","28,427,985","28,554,132","6,383,318","8,083,090","24,924,843","25,202,522","19,000,000","19,000,000","-15,496,858","-15,648,390","3,503,142","3,351,610","3,395,483","6,450,350","-1,544,852","-105,468","-1,382,101","-151,532"
647,2012,BUSINESS SERVICES ,"500,000",BAD,"19,980",59,"5,045,919","5,616,797","15,459,696","17,324,694","20,505,615","22,941,491","5,791,027","4,598,585","9,066,931","7,789,412",n.a.,"500,000",n.a.,"14,652,079","11,438,684","15,152,079","11,909,989","8,970,391","7,292,752","5,612,568","5,356,452","4,313,395"
648,2010,BUSINESS SERVICES ,"500,000",BAD,"53,921",60,"2,929","2,606","1,894,107","1,280,794","1,897,036","1,283,400","1,307,571","1,133,538","1,307,856","1,133,538","500,000","500,000","89,180","-350,138","589,180","149,862","1,128,181","1,019,479","42,974","-437,107","30,140","-439,318"
649,2010,BUSINESS SERVICES ,"850,000",BAD,"412,632",36,"4,459,819","4,252,018","3,912,306","4,639,331","8,372,125","8,891,349","5,095,581","5,493,614","7,903,035","8,324,166","400,000","850,000","69,090","-282,817","469,090","567,183","3,035,179","2,755,635","27,782","-347,744","8,597","-351,907"
650,1999,CONSTRUCTION ,"20,000,000",BAD,"67,407",60,"2,596,684","2,154,820","72,215,478","78,518,262","74,812,162","80,673,082","49,560,703","41,448,983","59,530,766","73,599,482","20,000,000","20,000,000","-4,718,604","-12,926,400","15,281,396","7,073,600","33,537,234","8,646,022","-6,960,582","-8,276,587","-7,054,498","-8,207,796"
651,2014,CONSTRUCTION ,"1,000,000",BAD,"13,457",60,"664,819","1,854,823","14,212,436","20,899,836","14,877,255","22,754,659","13,924,196","21,183,784","14,240,790","21,951,713","500,000","500,000","136,465","302,946","636,465","802,946","27,556,664","17,763,764","141,619","240,430","105,670","166,481"
652,2008,LAND TRANSPORT ,"250,000",BAD,"179,660",36,"7,791",n.a.,"1,377,132",n.a.,"1,384,923",n.a.,"339,945",n.a.,"1,114,513",n.a.,"100,000",n.a.,"170,410",n.a.,"270,410",n.a.,"9,189,236",n.a.,"73,492",n.a.,"58,172",n.a.
653,2010,LAND TRANSPORT ,"500,000",BAD,"225,250",60,"421,292",n.a.,"1,685,298",n.a.,"2,106,590",n.a.,"1,192,633",n.a.,"1,667,983",n.a.,"500,000",n.a.,"-61,393",n.a.,"438,607",n.a.,"1,102,359",n.a.,"-154,870",n.a.,"-154,870",n.a.
654,2010,BUSINESS SERVICES ,"1,000,000",BAD,"7,877",35,"173,280","197,769","26,727,025","20,835,762","26,900,305","21,033,531","22,960,237","15,932,613","22,969,896","15,932,613","1,000,000","1,000,000","2,930,409","4,100,918","3,930,409","5,100,918","57,782,695","43,425,292","3,431,709","2,480,917","2,004,610","2,170,509"
655,2010,BUSINESS SERVICES ,"500,000",BAD,"13,108",60,"29,473",n.a.,"898,914",n.a.,"928,387",n.a.,"662,983",n.a.,"722,303",n.a.,"500,000",n.a.,"-293,916",n.a.,"206,084",n.a.,"1,525,338",n.a.,"117,342",n.a.,"117,342",n.a.
656,1994,CONSTRUCTION ,"500,000",BAD,"170,000",48,"706,558","624,431","715,487","963,204","1,422,045","1,587,635","613,775","886,229","1,100,296","1,241,840","500,000","500,000","-178,251","-154,205","321,749","345,795","3,010,915","2,136,380",293,260,"-97,099","24,046"
657,2009,BUSINESS SERVICES ,"470,000",GOOD,"13,324",59,"483,754","467,422","462,701","733,538","946,455","1,200,960","105,312","181,799","438,737","698,595","470,000","470,000","37,718","32,365","507,718","502,365","495,350","514,788","6,094","3,804","3,818","-5,353"
658,1996,BUSINESS SERVICES ,"756,000",GOOD,"34,860",59,"3,464,875","3,468,974","14,128,412","15,871,302","17,593,287","19,340,276","7,331,345","8,807,475","7,906,496","9,188,846","756,000","756,000","8,930,791","9,395,430","9,686,791","10,151,430","32,908,349","25,970,324","728,546","710,458","443,132","464,639"
659,1988,BUSINESS SERVICES ,"1,650,000",GOOD,"168,000",48,"37,908,647","36,131,326","11,383,359","12,015,214","49,292,006","48,146,540","13,808,835","16,160,119","31,198,311","29,021,849","1,650,000","1,650,000","16,443,695","17,474,691","18,093,695","19,124,691","12,665,658","14,292,059","4,474","1,590,530","-2,067,846","1,030,996"
660,1997,BUSINESS SERVICES ,"500,000",GOOD,"21,997",60,"33,090,971","42,273,868","33,353,825","17,769,349","66,444,796","60,043,217","19,953,321","13,385,616","40,338,615","31,747,004","500,000","500,000","25,606,181","27,796,213","26,106,181","28,296,213","75,699,787","45,445,052","18,858,539","1,237,674","14,438,907","2,190,032"
661,2002,BUSINESS SERVICES ,"1,500,000",GOOD,"7,277,650",36,"8,143,783","13,094,074","2,618,264","3,926,476","10,762,047","17,020,549","3,719,688","8,319,790","6,864,450","13,179,438","1,500,000","1,500,000","2,397,597","2,341,111","3,897,597","3,841,111","4,647,802","8,712,605","-676,574","-50,847","-542,109","-56,486"
662,2012,BUSINESS SERVICES ,"1,000,000",GOOD,"16,057",36,"4,565","3,680","860,406","930,704","864,971","934,384","5,500","18,900","5,500","18,900","1,000,000","1,000,000","-140,529","-84,516","859,471","915,484","796,821","6,192,685","-139,021","56,013","-139,021","56,013"
663,1989,BUSINESS SERVICES ,"4,580,000",GOOD,"22,204",59,"6,908,373","11,951,110","8,000,468","11,139,318","14,908,841","23,090,428","4,603,093","12,786,378","4,688,976","13,039,638","4,580,000","4,580,000","5,639,865","5,470,790","10,219,865","10,050,790","20,545,281","37,506,195","518,528","1,489,796","368,888","837,596"
664,1997,BUSINESS SERVICES ,"600,000",GOOD,"111,024",60,"9,471,096","9,785,799","1,930,820","3,102,119","11,401,916","12,887,918","6,306,699","4,936,109","11,472,745","11,701,633","500,000","600,000","-570,829","586,285","-70,829","1,186,285","8,121,077","9,182,210","-273,072","1,766,061","-395,119","1,157,114"
665,2004,BUSINESS SERVICES ,10,GOOD,"16,605",60,"111,849","76,999","275,210","330,767","387,059","407,766","1,054,108","1,302,516","1,112,436","1,349,447",10,10,"-725,387","-941,691","-725,377","-941,681","1,338,723","1,269,977","-78,358","-189,304","-76,318","-216,304"
666,1998,BUSINESS SERVICES ,"10,417,691",GOOD,"9,768",59,"229,758","177,469","2,700,479","3,121,489","2,930,237","3,298,958","2,600,298","4,091,469","2,680,324","4,091,469","10,417,691","10,417,691","-10,167,778","-11,210,202","249,913","-792,511","3,850,427","5,014,468","-1,894,078","-1,042,424","-1,894,078","-1,042,424"
667,2008,BUSINESS SERVICES ,"3,966,667",GOOD,"15,544",59,"18,276,691","20,155,628","5,483,524","4,782,291","23,760,215","24,937,919","21,542,669","23,699,123","24,304,796","25,420,501","3,966,667","3,966,667","-4,262,877","-4,199,691","-296,210","-233,024","13,233,784","10,283,322","424,391","105,950","424,386","61,999"
668,2004,BUSINESS SERVICES ,"350,000",GOOD,"47,427",59,"273,407","171,942","2,374,293","2,252,971","2,647,700","2,424,913","952,620","659,440","1,253,154","889,674","350,000","350,000","1,044,546","1,185,239","1,394,546","1,535,239","8,832,912","8,538,758","102,885","158,184","47,039","140,693"
669,2009,BUSINESS SERVICES ,"1,850,000",GOOD,"19,777",60,"780,162","1,044,409","8,062,813","14,802,280","8,842,975","15,846,689","5,337,031","9,155,051","7,811,090","13,600,265","300,000","1,300,000","731,885","946,424","1,031,885","2,246,424","11,810,885","7,469,543","849,935","428,219","624,780","214,539"
670,1985,BUSINESS SERVICES ,"300,000",GOOD,"12,876",59,"15,263","14,957","265,880","1,506,496","281,143","1,521,453","231,431","1,484,538","233,231","1,484,538","300,000","300,000","-252,088","-263,085","47,912","36,915","2,827,601","3,530,741",423,"-13,797",123,"-10,997"
671,2010,BUSINESS SERVICES ,2,GOOD,"122,800",36,"30,108","422,462","239,010","181,097","269,118","603,559","64,425","538,580","64,425","657,881",2,2,"204,691","-54,324","204,693","-54,322","72,486","623,465","-172,597","-259,015","-172,597","-259,015"
672,2006,BUSINESS SERVICES ,"1,000,000",GOOD,"210,000",30,"1,234,694","4,851,181","3,670,659","3,617,733","4,905,353","8,468,914","1,647,741","2,219,950","2,036,948","5,438,142","1,000,000","1,000,000","1,868,405","2,030,772","2,868,405","3,030,772","5,030,236","4,861,934","316,147","376,630","253,260","238,081"
673,2006,BUSINESS SERVICES ,2,GOOD,"62,596",60,"46,460,421","48,150,760","1,992,470","2,745,959","48,452,891","50,896,719","32,892,020","36,665,670","53,510,937","58,092,089",2,2,"-5,058,048","-7,195,372","-5,058,046","-7,195,370","3,766,087","5,045,177","-2,330,228","-2,137,324","-2,330,228","-2,137,324"
674,1997,BUSINESS SERVICES ,"300,000",GOOD,"965,310",21,"1,557,223","1,229,213","553,371","1,105,017","2,110,594","2,334,230","1,449,582","1,605,671","1,897,700","1,955,582","300,000","300,000","-87,106","78,648","212,894","378,648","3,682,524","3,967,873","289,383","238,588","172,743","165,754"
675,2004,BUSINESS SERVICES ,"250,000",GOOD,"264,000",44,"815,416","721,989","466,147","527,498","1,281,563","1,249,487","809,995","714,975","1,071,847","923,857","250,000","250,000","-40,284","75,630","209,716","325,630","859,007","1,037,022","-208,604","121,948","-209,377","115,914"
676,2013,BUSINESS SERVICES ,"400,000",GOOD,"158,400",36,"215,051","2,217,331","948,263","980,730","1,163,314","3,198,061","465,564","768,417","625,270","2,541,808","400,000","400,000","138,044","256,253","538,044","656,253","4,210,683","5,570,355","33,410","165,549","11,494","118,209"
677,2009,BUSINESS SERVICES ,"100,001",GOOD,"1,309,000",36,"31,067","26,457","172,925","142,814","203,992","169,271","229,319","165,308","229,319","165,308","100,000","100,000","-125,327","-96,037","-25,327","3,963","208,021","418,732","-37,559","29,290","-37,559","29,290"
678,1996,BUSINESS SERVICES ,"1,100,001",GOOD,"7,840",60,"2,197,451","2,016,439","5,840,805","5,182,607","8,038,256","7,199,046","5,413,325","4,243,539","6,790,371","5,401,289","707,000","707,000","540,885","1,090,757","1,247,885","1,797,757","1,733,977","5,367,270","128,337","764,296","49,995","549,872"
679,1987,BUSINESS SERVICES ,"500,001",GOOD,"508,590",36,"5,397,968","5,256,939","8,453,236","8,836,383","13,851,204","14,093,322","6,540,992","5,602,491","10,047,837","9,687,829","500,000","500,000","3,303,367","3,905,493","3,803,367","4,405,493","17,601,419","14,948,493","813,147","809,988","594,156","602,126"
680,1974,BUSINESS SERVICES ,"1,101",GOOD,"31,350",60,"68,598","61,667","1,532,838","1,595,948","1,601,436","1,657,615","208,891","837,699","208,891","837,699","1,100","1,100","1,391,445","818,816","1,392,545","819,916","346,406","364,965","133,072","-61,359","107,072","-61,129"
681,2008,BUSINESS SERVICES ,"2,000,001",GOOD,"5,000,000",60,"2,064","3,021","163,132","9,100,053","165,196","9,103,074","352,433","8,260,978","352,433","8,260,978","20,000","20,000","-207,237","822,096","-187,237","842,096","400,000","9,166,172","-49,729","1,304,675","-79,729","1,029,333"
682,2012,BUSINESS SERVICES ,"500,001",GOOD,"11,498",60,n.a.,"18,949",n.a.,"877,314",n.a.,"896,263",n.a.,"628,476",n.a.,"631,176",n.a.,2,n.a.,"165,087",n.a.,"265,087",n.a.,"6,101,432",n.a.,"208,787",n.a.,"165,087"
683,1984,BUSINESS SERVICES ,"100,001",GOOD,"32,000",36,"679,155","613,382","2,253,841","2,635,493","2,932,996","3,248,875","1,128,480","1,142,456","1,275,044","1,218,622","100,000","100,000","1,500,172","1,817,883","1,600,172","1,917,883","4,209,042","4,870,512","511,740","521,976","380,586","467,870"
684,2012,BUSINESS SERVICES ,"640,001",GOOD,"486,250",48,n.a.,"290,849",n.a.,"94,965",n.a.,"385,814",n.a.,"360,329",n.a.,"360,329",n.a.,2,n.a.,"25,483",n.a.,"25,485",n.a.,"168,000",n.a.,"25,483",n.a.,"25,483"
685,1991,BUSINESS SERVICES ,"800,002",GOOD,"2,969,968",27,"8,017,701","6,162,084","7,351,355","6,932,736","15,369,056","13,094,820","9,093,610","10,421,595","12,642,100","11,230,849","800,000","800,000","1,926,956","1,063,971","2,726,956","1,863,971","18,318,346","16,917,126","854,694","978,399","636,519","737,015"
686,2011,BUSINESS SERVICES ,"40,002",GOOD,"8,389",59,"462,052","361,247","2,241,162","1,660,703","2,703,214","2,021,950","1,145,988","834,051","1,433,192","1,073,251","40,000","40,000","1,230,022","908,699","1,270,022","948,699","4,359,819","2,532,126","468,826","-341,504","351,387","-321,323"
687,1988,BUSINESS SERVICES ,"500,002",GOOD,"108,900",36,"1,020,366","979,955","2,596,541","3,390,100","3,616,907","4,370,055","2,355,705","2,141,479","2,793,276","3,356,461","500,000","500,000","323,631","513,594","823,631","1,013,594","9,786,187","10,659,230","173,110","249,462","120,988","189,963"
688,2007,BUSINESS SERVICES ,"1,000,000",GOOD,"4,517,976",48,"9,322,399","10,522,923","5,152,054","7,346,133","14,474,453","17,869,056","4,005,759","3,993,482","6,851,439","7,750,303","800,000","1,000,000","6,823,014","9,118,753","7,623,014","10,118,753","6,914,189","9,160,091","1,334,567","3,316,019","1,056,744","2,595,739"
689,1994,BUSINESS SERVICES ,"100,000",GOOD,"44,000",36,"1,405","5,460","324,138","37,132","325,543","42,592","242,866","53,187","243,147","53,763","100,000","100,000","-17,604","-111,171","82,396","-11,171","616,926","530,073","20,090","-93,144","15,067","-93,567"
690,2005,BUSINESS SERVICES ,"253,000",GOOD,"173,600",36,"2,294,038","2,087,412","1,107,491","1,134,481","3,401,529","3,221,893","1,706,753","1,816,217","3,334,194","3,164,128","253,000","253,000","-185,665","-195,235","67,335","57,765","3,298,278","3,577,774","-239,551","-10,425","-230,861","-9,570"
691,1997,BUSINESS SERVICES ,"50,103",GOOD,"7,769",59,"13,641","14,996","388,466","428,638","402,107","443,634","88,137","53,193","88,137","55,546","50,103","50,103","263,867","337,985","313,970","388,088","1,415,847","1,871,390","-88,303","74,472","-85,201","74,118"
692,2013,BUSINESS SERVICES ,"300,000",GOOD,"59,864",12,"1,380,500","1,210,398","561,340","1,126,587","1,941,840","2,336,985","762,082","913,868","1,293,327","1,164,987","300,000","300,000","348,513","871,998","648,513","1,171,998","5,792,367","6,975,132","328,899","607,773","253,197","523,485"
693,2012,BUSINESS SERVICES ,"350,001",GOOD,"150,000",36,n.a.,"19,207",n.a.,"1,075,165",n.a.,"1,094,372",n.a.,"889,083",n.a.,"890,583",n.a.,100,n.a.,"203,689",n.a.,"203,789",n.a.,"3,582,108",n.a.,"259,789",n.a.,"203,689"
694,2014,BUSINESS SERVICES ,"500,002",GOOD,"1,087,700",26,"717,450","2,353,273","450,063","1,188,742","1,167,513","3,542,015","406,257","2,291,464","616,297","2,983,007","500,000","500,000","51,216","59,008","551,216","559,008","992,878","1,729,636","116,808","67,097","51,216","7,792"
695,2015,BUSINESS SERVICES ,"3,600,000",GOOD,"56,000",24,"4,195,858","5,358,241","2,920,607","1,954,161","7,116,465","7,312,402","3,960,761","5,075,980","4,014,680","5,116,963","3,600,000","3,600,000","-498,215","-1,404,561","3,101,785","2,195,439","3,658,510","3,662,125","21,640","-906,346","21,639","-906,346"
696,2006,CONSTRUCTION ,"2,000,001",GOOD,"2,158,622",48,"2,591,421",n.a.,"2,584,817",n.a.,"5,176,238",n.a.,"3,674,464",n.a.,"4,633,669",n.a.,"100,000",n.a.,"442,569",n.a.,"542,569",n.a.,"12,512,546",n.a.,"209,350",n.a.,"183,110",n.a.
697,2002,CONSTRUCTION ,"2,050,001",GOOD,"185,500",48,"1,973,167","1,598,281","2,782,054","1,939,405","4,755,220","3,537,686","4,460,698","2,786,988","4,839,058","2,965,298","1,050,000","1,050,000","-1,133,838","-477,612","-83,838","572,388","5,921,164","2,976,445","-268,516","859,340","-236,704","656,226"
698,1986,CONSTRUCTION ,"1,260,001",GOOD,"13,568",60,"15,420,988","19,470,947","13,975,018","13,493,405","29,396,006","32,964,352","18,726,099","19,400,290","25,678,022","28,594,287","1,260,000","1,260,000","2,365,128","3,030,307","3,625,128","4,290,307","27,739,382","33,919,617","-2,055,657","1,109,816","-2,212,821","652,081"
699,2009,CONSTRUCTION ,"79,499,914",GOOD,"12,948",59,"25,173,264","10,018,955","25,717,691","59,919,360","50,890,955","69,938,315","18,032,230","32,159,277","44,857,372","62,374,813","5,000,000","5,000,000","1,033,583","2,563,502","6,033,583","7,563,502","42,177,776","49,365,503","1,385,098","2,059,845","1,069,685","1,529,919"
700,2002,CONSTRUCTION ,"100,001",GOOD,"548,400",44,"239,593","403,396","3,417,035","2,032,445","3,656,628","2,435,841","3,472,845","2,212,066","3,472,845","2,326,413","100,000","100,000","83,783","9,428","183,783","109,428","3,843,400","1,225,341","24,449","-46,364","10,441","-74,355"
701,1982,CONSTRUCTION ,"5,000,001",GOOD,"2,970,000",36,"5,694,111","14,125,172","24,042,606","30,549,891","29,736,717","44,675,063","19,614,674","27,274,170","19,614,674","31,269,309","5,000,000","5,000,000","5,122,043","8,405,754","10,122,043","13,405,754",n.a.,"79,535,156","623,829","4,662,312","114,812","3,283,711"
702,2001,CONSTRUCTION ,"1,250,001",GOOD,"149,200",39,"370,841","385,372","1,390,306","1,337,054","1,761,147","1,722,426","261,656","433,469","546,459","699,078","1,250,000","1,250,000","-35,312","-226,652","1,214,688","1,023,348","914,354","1,049,136","9,143","-237,698","-8,412","-191,340"
703,2005,CONSTRUCTION ,"1,000,001",GOOD,"926,620",36,"1,859,537","1,901,038","1,972,713","2,921,323","3,832,250","4,822,361","2,893,037","4,089,525","3,650,669","4,704,974","100,000","100,000","81,581","17,387","181,581","117,387","4,433,802","6,211,092","71,475","-700,942","14,411","-64,194"
704,2013,CONSTRUCTION ,"750,001",GOOD,"350,000",36,n.a.,"105,778",n.a.,"544,522",n.a.,"650,300",n.a.,"341,377",n.a.,"346,263",n.a.,"250,000",n.a.,"54,037",n.a.,"304,037",n.a.,"651,384",n.a.,"68,369",n.a.,"54,037"
